"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"var","2.5%",0.5,"abun",7.8805439014006,23.7756514235093,44.4688262014678,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.6,"rich",2.28776843536168,3.57581253722966,3.42118615591398,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.6,"abun",8.60345665418041,28.2677687599279,49.9675688414513,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.7,"rich",2.21530804676045,3.54809050051931,3.80909472751711,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.7,"abun",9.78960884519337,32.4462799221423,56.2863871435499,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.8,"rich",2.21316051613667,3.55071239900263,4.20428725733901,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.8,"abun",11.0701694999389,38.5563133858749,61.881404646261,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.9,"rich",2.15253848973607,3.57570640884653,4.65814747143817,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",0.9,"abun",12.1473858099646,43.3723234025614,63.6034299013319,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",1,"rich",2.14647671428244,3.61533756796799,5.01938092333364,0.000977517106549364,"a0.5","a0.5","1"
"var","2.5%",1,"abun",13.1049477257454,49.7515317378039,65.1645946215558,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.1,"rich",2.36192714060973,1.90712060117302,0.818565092711388,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.1,"abun",4.09089286259775,5.87373562362537,6.30032828919233,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.2,"rich",2.49665028561828,2.72118376939761,1.82254055168622,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.2,"abun",5.41376609466642,10.7296391969086,18.5426265235521,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.3,"rich",2.50921672623412,3.19149168728617,2.40161204407991,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.3,"abun",6.20949365759409,16.1676971644367,30.0128098652859,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.4,"rich",2.55456053732893,3.47959576231061,2.83726631231672,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.4,"abun",7.3254554427847,20.8479006292766,40.3859817937439,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.5,"rich",2.45636254811217,3.70959723240469,3.26920191074047,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.5,"abun",8.54598435208944,26.2298095941777,49.443074424945,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.6,"rich",2.45559743096285,3.68988174334066,3.69246968169599,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.6,"abun",9.65404104044477,30.687838885325,53.9728156692937,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.7,"rich",2.34694029508798,3.72722261042889,4.09834690783847,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.7,"abun",10.1117452880621,36.1735808819037,60.9192584234482,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.8,"rich",2.31857702529325,3.7291528248717,4.49306716993524,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.8,"abun",11.8144354647788,39.9472288726478,65.4296416788856,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.9,"rich",2.29287233473851,3.74423560835166,4.95806986192571,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",0.9,"abun",12.6788388547776,46.9890296615347,68.5965975913368,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",1,"rich",2.26932266846896,3.74268675922532,5.29346037237292,0.000977517106549364,"a0.5","a0.5","1"
"var","50%",1,"abun",13.8635094009653,53.6238506537146,71.1314875061095,0.000977517106549364,"a0.5","a0.5","1"
"var","97.5%",0.1,"rich",2.5172629139174,2.018287516992,0.857700620112415,0.000977517106549364,"a0.5","a0.5","1"
